exercise, 17/09/2024,18/09/2024,20/09/2024,21/09/2024,24/09/2024,25/09/2024,10/10/2024,29/10/2024,31/10/2024,02/11/2024,03/11/2024,05/11/2024,06/11/2024,09/11/2024,11/11/2024,13/11/2024,16/11/2024,18/11/2024,20/11/2024,23/11/2024,02/12/2024,03/12/2024,05/12/2024,07/12/2024,09/12/2024,10/12/2024,12/12/2024,14/12/2024,16/12/2024,18/12/2024,21/12/2024,02/01/2025,03/01/2025,05/01/2025,07/01/2025,10/01/2024,12/01/2025,14/01/2025,16/01/2025,17/01/2025,19/01/2025,21/01/2025,23/01/2025,26/01/2025,28/01/2025,30/01/2025,01/02/2025,03/02/2025,04/02/2025,06/02/2025,07/02/2025,09/02/2025,10/02/2025,11/02/2025,20/02/2025,24/02/2025,27/02/2025,28/02/2025,07/03/2025,03/03/2025,18/03/2025,23/03/2025,24/03/2025,25/03/2025,27/03/2025,31/03/2025,01/04/2025,03/04/2025,05/04/2025,07/04/2025,09/04/2025,11/04/2025,12/04/2025,15/04/2025,17/04/2025,22/04/2025,30/04/2025,02/05/2025,04/05/2025,05/05/2025,07/05/2025,09/05/2025,10/05/2025,12/05/2025,14/02/2025,16/05/2025
Squat,"1x10@60, 1x7@100, 3x5@117.5",,"1x10@60, 1x7@100, 1x5@140, 1x4@160, 1x1@170, 3x3@125",,"1x10@60, 1x7@100, 3x6@117.5",,,"1x7@60, 1x5@100, 3x2@122.5",,"1x7@60, 1x7@100, 1x3@140, 1x@155, 1x1@170, ",,"2x8@60, 1x3@100, 1x1@140, 1x1@160, 3x5@127.5",,"1x5@60, 1x5@100, 1x3@140, 1x1@150, 1x1@170, 3x3@135",,"1x5@60, 1x5@100, 3x6@127.5",,"1x8@60, 2x5@100, 1x3@140, 1x1@160, 1x1@170, 3x4@140",,,"1x6@60, 1x5@100, 1x1@140, 3x4@130",,"1x5@60, 1x5@100, 1x3@140, 1x1@170, 3x2@137.5",,"1x5@60, 1x5@100, 1x1@140, 3x4@132.5",,"1x5@60, 1x5@100, 1x4@140, 1x1@160, 3x2@140",,"1x5@60, 1x5@80, 3x2@112.5","1x5@60, 2x2@100","1x5@60, 1x5@100, 1x2@140, 1x1@160, 1x1@175, 1x1@190",,"1x5@60, 1x5@100, 1x5@120, 1x5@110, 1x5@115",,,,"1x7@60, 1x7@100, 1x5@130, 1x5@135, 1x5@140, 1x5@145",,,"1x7@60, 1x5@110, 1x1@140, 1x1@160",,"1x7@60, 1x7@100,1x5@135, 1x5@140, 1x5@145, 1x4@150",,,"1x8@60, 1x7@100, 1x5@120, 1x5@140, 1x5@145, 1x5@150, 1x5@155",,"1x10@60, 1x6@100, 1x3@120, 1x1@140, 1x1@160, 1x1@180, 3x3@160",,"1x10@60, 1x6@100, 1x5@120, 1x5@140, 1x5@145, 1x5@150, 1x5@155",,,"1x10@60, 1x7@100",,"1x10@60, 1x8@100, 1x5@120, 1x5@145, 1x5@150, 1x3@155",,"1x10@60, 1x7@100, ",,"1x10@60, 1x7@100, 2x1@120, 1x1@140, 1x3@150, 1x3@160",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench press,,,"1x7@60, 1x5@76, 1x1@85, 1x1@95, 3x3@67.5","1x10@40, 3x5@62.5",,,,,,"1x7@60, 1x5@70, 1x1@80, 3x2@67.5","1x7@40, 3x4@62.5",,,"1x5@60, 1x3@80, 1x1@90, 3x3@70","1x7@60, 1x5@70, 1x3@80, 1x1@90, 3x5@65",,,"1x10@40, 1x8@60, 1x1x5@70, 1x@85, 1x1@100",3x10@60,"1x10@30, 1x10@60, 1x5@70, 1x3@80, 1x1@90, 3x1@100",,,"1x5@60, 1x3@80, 1x1@90, 3x2@70","1x5@60, 1x3@80, 3x4@65",,,"1x7@60, 1x3@80, 1x1@90, 3x2@70","1x5@60, 1x1@80, 3x4@67.5",5x2@60,,,"2x5@60, 1x5@70, 1x5@75",,"1x8@60, 1x3@80, 1x1@90, 3x3@80",,"1x10@60, 1x5@80, 1x8@70, 1x8@72.5, 1x7@75",,"1x7@60, 1x3@80, 1x1@92.5, 3x3@82.5",,,"1x10@60, 1x10@70, 1x10@72.5, 1x10@75",,,"1x10@60, 1x10@70, 1x10@72.5, 1x10@75, 1x8@77.5",,"1x10@50, 1x7@70, 1x5@80, 1x1@90, 1x1@100, 3x3@85",,"1x10@60, 1x10@70, 1x10@75, 1x10@77.5, 1x9@80",,,"1x10@60, 1x10@70, 1x7@80, 1x3@90, 1x2@100, 3x3@90",,"1x10@60, 1x10@70, 1x10@75, 1x10@80, 1x6@85",,"1x10@60, 1x7@70, 1x5@80, 1x1@90, 1x1@100, 1x1@95, 1x3@90",,"1x10@40, 1x10@60, 1x10@75, 1x10@80, 1x7@85, 1x4@90",1x10@60,,"1x10@50, 1x10@60, 1x7@70, 1x1@80, 1x1@90, 1x1@100, 1x1@105, 2x3@90",,,,,,,,,,,,,,,,,"1x10@50, 3x10@60","1x10@60, 4x5@80","1x10@40, 1x10@60, 1x5@80, 1x1@100, 1x10@70",,"1x10@60, 1x7@70, 1x3@80, 1x1@95, 2x4@85, 2x5@85",,,,"1x10@60, 1x6@70, 1x3@80, 1x1@90, 1x1@100, 3x4@90, 1x6@90",
Deadlift,,"1x10@70, 1x5@100, 3x5@125",,"1x7@60, 1x5@100, 1x5@140, 1x1@170, 1x1@190",,"1x7@60, 1x5@100, 3x6@125",,,"1x5@70, 1x5@100, 3x4@130",,"1x7@60, 1x7@100, 1x3@140, 1x1@180, 3x2@142.5",,"1x7@60, 1x5@100, 3x5@130",,"1x5@60, 1x5@100, 1x5@140, 1x1@170, 1x1@190, 3x3@142.5",,"1x5@60, 1x5@100, 3x6@130",,"1x5@60, 1x5@100, 1x5@140, 1x1@170, 1x1@200, 3x4@140",,,"1x7@60, 1x5@100, 1x1@170, 4x4@132.5",,"1x7@70, 1x5@120, 1x1@170, 3x2@145",,"1x5@60, 1x5@100, 1x1@150, 3x4@132.5",,"1x5@60, 1x5@100, 1x3@140, 1x1@165, 3x2@150","1x5@60, 1x5@100, 3x2@120",,,,,"1x5@60, 1x5@100, 4x5@150",,,,"1x7@60, 1x7@90, 1x5@130, 1x5@135, 1x5@140, 1x5@145",,,,,"1x7@60, 1x5@120, 1x1@170, 3x3@150",,,"1x10@60, 1x10@100, 1x5@140, 1x3@180, 1x1@200, 1x5@150, 1x5@155, 1x5@160, 1x4@165",,,,,"1x7@70, 1x7@120, 1x5@150, 1x5@155, 1x5@160, 1x5@165",,,,"1x10@60, 1x8@100, 2x5@140, 1x5@155, 1x5@160, 1x5@165, 1x5@170",,,,"1x10@60, 1x5@100, 1x1@140, 1x1@160, 1x1@180, 1x1@200",,,,,,,,,,,,,,,,,,,,,,,,,,,
OHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3x7@40,,,,,,,,,,,"1x7@40, 1x5@40",,,,,,,,,,,,,,,,,4x5@40,,,,,,3x10@30,,,,,,,,,,5x5@30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench - tempo ,,"1x5@60, 1x5@70, 1x2@80, 1x1@90, 2x3@82.5",,,,"1x5@60, 1x5@70, 1x2@80, 1x1@90, 2x4@82.5",,3x2@122.5,"1x5@40, 1x5@60, 1x1@80, 1x1@87.5, 3x2@72.5",,,,"1x7@60, 1x3@70, 1x1@85, 2x3@72.5",,,,"1x7@40, 1x5@60, 1x5@70, 1x3@80, 1x1@95, 2x4@72.5",,,,,"1x5@60, 1x3@80, 1x1@90, 2x2@72.5",,,,"1x5@60, 1x1@80, 2x2@72.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench - close ,,,,,,,,,,,,,,,"1x5@65, 1x10@65, 1x15@65",,,,3x8@70,,,,,,,,,3x8@65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench - wide,,,,3x5@60,,,,,,,3x4@62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench - long pause,,,3x3@65,,,,,,,3x2@65,,,,3x3@65,,,,3x4@65,,,,,3x2@65,,,,3x2@70,,,,,,"1x8@40, 1x8@45, 1x8@50, 1x8@55",,,,"1x8@60, 1x8@62.5, 1x7@65, 1x7@67.5",,,,,"1x8@60, 1x7@65, 1x8@67.5, 1x8@65",,,"1x7@60, 1x8@65, 1x7@67.5, 1x7@70",,,,"1x10@60, 1x8@65, 1x5@67.5, 1x7@70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench - incline [seat 4],,,,,3x10@50,,,,,,,"2x8@50, 1x10@50",,,,3x8@50,,,,,,,,,,,,,,,,,,,,3x5@60,,,,,,,,,,,,,,,,,,,,,"1x10@50, 3x8@60",,,,,,,,"1x10@50, 3x7@60",3x8@60,,,,3x5@60,"2x10@60, 1x9@60",,,"2x9@65, 1x7@65",,,,,,,,,,,,
